Num,Id,OrderAt,StoreId,UserId
0,8267b4ff-f0af-40e9-8085-f493239a857e,2023-2-13 2:42:19,07f7ca80-0fdf-47b2-84c7-16aa08161126,9ef5d61a-3ade-4e09-8bb9-de0f86ab7307
1,98771ddc-9a07-4653-a0a3-4376587daea8,2023-9-28 11:20:27,9365a9f7-74d6-403a-b747-138a20d82730,5a530d40-4394-466b-82bf-c6cc3ff10c13
2,743d19fc-47b8-4ce5-8e74-0080c97fb479,2023-5-29 13:34:31,5814f2d9-1a55-4e74-8a03-ad225ab3b947,1760fcb6-11d2-497c-b9eb-ac757d19159c
3,84a5fd62-74e1-4a12-b2ae-b0c879e0ddf9,2023-8-2 21:47:16,71220573-2eea-42ec-9d76-5842a5609dc5,db35e2f7-a8ba-46a3-ab37-0c7b857a453a
4,cb15de88-2fe7-4348-8b63-03000384288d,2023-4-9 20:44:54,628c6ef8-266f-40a3-b068-b970d4da92fe,5e2864b5-c786-45a2-8c03-a39880632a93
5,33c722bc-4716-4ae1-aee1-f5825348935d,2023-2-10 9:54:17,07f7ca80-0fdf-47b2-84c7-16aa08161126,6455b1fc-9191-4329-bbda-80645366a294
6,6d17f409-ebd7-4c09-b070-22d65668bb4f,2023-4-1 9:33:39,27df4488-bd60-4c64-bd50-a6b0779ce235,94e20f3c-768e-4c1e-9f1e-2be3d7f04318
7,3374ebb8-7859-44e1-9cf9-13ef57618c6d,2023-6-24 11:15:43,89aab5ea-7b99-42e2-afa2-dd2ed0031c27,ef5cf6b9-61d7-4412-9639-36d901f2e32b
8,f9afd251-af8d-458c-b9eb-24a4b43ecaa6,2023-4-24 17:59:54,e959f96c-7f97-4824-acec-f3ef82ffc804,cc772f6e-9bb7-47fc-9a17-55b223f05e87
9,5130b4c6-c156-47a7-9896-a1db9ae0a165,2023-11-24 17:19:15,54b22f56-bbec-4081-b4f4-d8bdb7906bc0,86b743f8-ffed-471b-839f-5afc194e82a9
10,24c68d87-642e-4a87-be86-b3f1f6ca4f8c,2023-7-7 19:41:12,3ada09f3-e39c-4558-b342-b0eb6651ea0c,c16412f1-35aa-447c-80b7-8ba34fed3469
11,4eb224c4-1f58-442d-9f07-bf407f2d4397,2023-10-2 6:10:19,611885d5-3f15-4516-87b2-42d9ab1737c4,d34f4626-296a-4e82-b383-75b6a5b1fa05
12,fdfd952f-586f-4431-b6e4-a1eafdea3502,2023-4-15 17:31:11,43ad6bc9-f03d-442f-adf7-455dbbcd64d6,ce171434-7bf5-4261-b327-14e5b118dc18
13,c803bc15-1175-4a06-bb7d-e6558c11d9e1,2023-7-12 7:28:15,caa9f2b7-fbc7-40e5-b8e4-8af631770e98,318e2de0-11b4-4f3b-99a1-7ad8623390a9
14,5b941c5f-bb7a-440b-88a2-7a1b6c27fd2c,2023-12-2 5:4:41,618a98da-b1b3-4042-9527-c24647cde29e,bcf2eac4-4d6e-4372-ac2c-5b7a2f2e2b04
15,08763b6a-f26e-471d-a459-f45f3be9d2e9,2023-8-28 10:3:14,6fbe5b36-d593-4445-afe0-383592c1653f,770502a5-9cc0-4f2d-8dd6-bb73dbdad40d
16,71fde339-50a3-4dba-8ef1-3ceb28c94825,2023-4-29 22:3:33,c917c027-2480-4e69-b082-f5bb2fe35803,891473e4-c524-4cc9-90ee-700efb3371dc
17,67893470-81cc-4e93-af8f-5f788cab3a21,2023-5-6 14:42:21,a6d19d57-55c0-49ed-a7c7-99228af89468,2ab7ac7b-e23a-4498-b1cf-e3cd3215deea
18,35df7c08-f8f5-48bf-9fc0-6cd7dc350c12,2023-10-9 4:39:50,11677080-b744-4929-b537-d7b713af287f,df41ac28-85bb-43c6-a9b1-89eefafd7815
19,29d65a22-650c-4aec-903a-443f682575af,2023-9-19 2:26:31,611885d5-3f15-4516-87b2-42d9ab1737c4,60dda1c1-209f-4a68-b85d-bcef943236b5
20,43ae47a9-d3a7-44bf-9af9-29950a1e3bf9,2023-8-30 23:6:58,11677080-b744-4929-b537-d7b713af287f,12f701de-971f-4402-8a48-1484aeadcf41
21,93631136-2f5d-4b35-b8e3-02bf9393d012,2023-8-31 0:8:52,d51acc74-8f77-4c45-b80d-66a51175f230,752e3913-d6dd-4edb-93d6-e1fca1a12467
22,3a88de97-7a21-478d-a802-d0f3851fd2cd,2023-9-11 9:30:15,6eb56ee1-40a5-425e-bf93-c8f396acb2ac,752e3913-d6dd-4edb-93d6-e1fca1a12467
23,f077b7b6-df86-4a87-89f8-2b3460ba89be,2023-4-1 22:14:21,4dada2ae-1fb6-4eee-b642-ffccfaa0b450,c2cbc121-8674-481d-a44e-cf85444280ef
24,ad61fed5-202d-4914-bfca-ac6edbf2bad9,2023-8-8 12:2:24,611885d5-3f15-4516-87b2-42d9ab1737c4,134b300c-e6af-4226-be53-78c9b280192c
25,97cd17ce-ceb4-4553-afef-e2f2be637564,2023-2-26 16:12:55,bd0b1c7b-0630-4daa-ae8d-3c8b30248b40,0e3b9c39-2522-4226-9134-3680c57aafb4
26,91200151-1776-4953-8aca-2cefdc690009,2023-8-9 21:2:35,e959f96c-7f97-4824-acec-f3ef82ffc804,e631dcbe-65b3-4d4a-bdeb-3b4fbece6816
27,57d36e24-c352-4796-ba36-d8cd912c4eae,2023-5-27 21:54:38,90dbfaf5-3b72-44f2-b0e1-2cfeaba994ed,eb164fe0-745b-4708-bebb-e9c5b31ece39
28,f885b783-f93a-403e-b290-278986c3e9fc,2023-2-22 23:37:12,bafc9db3-5fb0-4b70-bc1b-68eba9edbc1c,0337710e-0f53-4ae8-8300-f8a325cdf756
29,ca6d5dd0-5cf7-46bc-982c-11c5d1d96158,2023-8-3 23:53:5,d51acc74-8f77-4c45-b80d-66a51175f230,609fe671-fc61-4fda-b27c-008bf87eefc6
30,29de9cdd-f792-4fb5-a084-17fbd97bad53,2023-12-13 19:21:50,faf09278-88fc-417b-b45b-086e1c0b7034,8468e4b9-54af-4643-b8f9-0993fe6320d1
31,3a6a40a4-d0e7-4f89-9610-fed7e8624155,2023-8-21 14:57:23,73009954-c1c7-4209-b9f6-ab8284155660,660faccc-5389-461a-a86b-84932424ad23
32,4f280ca4-4944-479f-bfa0-c804fee491fd,2023-11-20 5:37:21,9365a9f7-74d6-403a-b747-138a20d82730,4335f9d5-f210-4a45-84ea-272b0619da14
33,5c7c2800-9321-4764-bccd-8b3723d8a939,2023-8-18 2:23:23,89aab5ea-7b99-42e2-afa2-dd2ed0031c27,260b8ed7-e8ab-4ead-9375-f9236bc7202e
34,c5a7ca90-f35d-4246-8231-6ebe5c9f4ed2,2023-8-10 13:22:50,6fbe5b36-d593-4445-afe0-383592c1653f,916e6bbe-d646-4eff-bb26-8496f4e0c372
35,59984d31-6c98-4726-9be9-9e8d116820d8,2023-11-18 10:50:4,e25a1f1c-feaf-4a2c-b283-4d7dc464d33c,54e8ce11-709d-48f2-bd66-ccbfe9c5ec46
36,a9edb45f-9ec2-4651-b8ac-2fe154da2ef6,2023-12-15 2:36:0,628c6ef8-266f-40a3-b068-b970d4da92fe,56951dba-f3cf-40d5-b52f-9671687433e9
37,1d4196b1-5c38-4c8a-ab54-108506abc87d,2023-5-2 12:10:53,73009954-c1c7-4209-b9f6-ab8284155660,0b25717c-2936-4fb4-a38f-aa28c96f8fd6
38,bf7b6d0f-8268-4c61-b555-77807cbe023e,2023-11-2 1:52:26,89aab5ea-7b99-42e2-afa2-dd2ed0031c27,591a686b-5d56-4e19-a033-88e5148e0aff
