Num,Id,OrderAt,StoreId,UserId
0,6671f654-faa7-4025-9fc2-ddbae15c1098,2023-12-4 3:37:24,9360786b-8ca5-4954-94c4-d3a23ba3a625,9f2f2492-ae76-4fa1-a671-2c7f930337fc
1,8023aeaa-06b1-4fc9-ac65-89a3c21f58e3,2023-3-13 0:0:52,619a8d47-53b9-459d-8e9d-ab281ec1f141,b6af6305-94cf-406c-b1c2-02dfb46fd031
2,75b51b2e-bdb1-4bc0-a17f-bea32ab3e570,2023-3-20 18:15:47,1e798a16-cf56-4f76-9d62-0d626153ec80,fdceb128-934d-498b-8afa-e255c830e756
3,3f7bcbbe-b17e-44e2-9df4-ce2499b7b9eb,2023-6-24 21:34:8,2ffeb03e-b943-4e4a-b08e-f89bf56865e8,2f97383f-6bd6-4699-a6ed-570f7b66e869
4,96f99c33-8550-4780-9f43-96915e705236,2023-12-17 10:10:2,d2ab0d94-4f2c-4e66-9806-0937ef81e4e6,90460929-0737-4e03-8313-036cf6a882d7
5,5c2b49b6-8fd9-4384-a05c-2d64ac7fb3c3,2023-8-4 13:53:29,88d4624a-fb5c-402f-b710-55eb6cc820be,5d46c33b-f9ff-4f30-80c6-6de05a31daa2
6,ef969f3d-9ce9-4a23-841b-e7fff08f652e,2023-2-16 5:50:36,6f29c497-3616-4555-82d4-70bbd23ddabd,b3b4dfc7-1d63-4b82-ae96-92bdf8bd8bd3
7,33d831cf-0d6d-4819-9b07-f859376e17bf,2023-12-29 9:14:40,dbde1e5e-5f2f-4452-b417-783d0d8d631a,cccb145c-432d-4c8d-89fe-578e680687b0
8,0676b8db-e97e-46b9-a165-371dda73516b,2023-6-30 18:8:54,4f5ac90d-3a45-4e8c-84d9-a8d44534f5d6,8f7ccb21-837d-45a8-a195-5baef91da3b9
9,fd944092-7f28-4453-b8cb-9ceaa4c09389,2023-12-15 9:50:44,f00a22b4-171d-4bd7-951b-1845c80a3e47,3e96183b-fad4-418b-8fce-ca28b01b3cb3
10,67931bfe-34cf-4096-a48b-e0131ca617d4,2023-6-7 14:28:25,098eddaa-7ffb-469c-b6f8-6606d368e74e,8b0bdafc-7918-4a68-a2ce-61cc67e878e7
11,7c3b91d5-8130-4728-b345-888f6e294848,2023-5-15 21:52:36,5cae2f74-77a8-4bec-9ff7-913a54e0ef1a,06c66456-08b6-4995-b6ad-7cadc242c5cb
12,d561b71f-1c83-4dce-b1db-2353062f6b93,2023-1-16 17:39:31,d41fe8ec-7216-4ff5-96e9-387b4abd6a78,bcf08d46-02cf-4957-bacb-294d5f980cbf
13,4979a1bc-0f5c-439a-8025-9071da99b45d,2023-2-15 15:51:36,d166476f-dd2f-4803-a6ef-22da0c345246,6e490021-3798-4c56-8507-6e1e5e17fcda
14,7270a859-9480-4723-899a-3a477ed480a1,2023-12-30 15:21:22,0415847f-15c6-4264-a4b7-588ee70f9117,bd487c54-fed6-482c-b0fd-59fef4de332f
15,559bc342-45e8-430e-a518-a79a28cf2f3d,2023-9-8 16:1:42,db1b1d9b-b444-4e52-9d50-da7d06a765a5,e96523e9-17f3-48f2-a6cf-6ec4a78cddfe
16,5bd543bc-d04a-4196-91df-6e4958efae7c,2023-10-13 14:1:31,f332d1da-7639-42dd-8cc1-a7d5a3725240,90853e3b-7bda-4e26-b9b9-5d5ae56c9a81
17,c69ffb9c-605e-4f75-a245-e351f17bde34,2023-9-29 6:53:37,ae69b44a-b27f-45b7-9651-7bd3940f51a7,a646e5a4-9d26-44e5-bec1-a4ebf8ac2517
18,cfb776e6-f16d-479b-a1f4-f5de1956d218,2023-2-7 5:34:53,f00a22b4-171d-4bd7-951b-1845c80a3e47,de4831c7-158b-4cd9-9512-6c055cad25d2
